step,actor/entropy,actor/grad_norm,actor/kl_coef,actor/kl_loss,actor/loss,actor/lr,actor/perf/cpu_memory_used_gb,actor/perf/max_memory_allocated_gb,actor/perf/max_memory_reserved_gb,actor/pg_clipfrac,actor/pg_clipfrac_lower,actor/pg_loss,actor/ppo_kl,critic/advantages/max,critic/advantages/mean,critic/advantages/min,critic/returns/max,critic/returns/mean,critic/returns/min,critic/rewards/max,critic/rewards/mean,critic/rewards/min,critic/score/max,critic/score/mean,critic/score/min,global_seqlen/balanced_max,global_seqlen/balanced_min,global_seqlen/max,global_seqlen/mean,global_seqlen/min,global_seqlen/minmax_diff,num_turns/max,num_turns/mean,num_turns/min,perf/mfu/actor,perf/mfu/actor_infer,perf/throughput,perf/time_per_step,perf/total_num_tokens,prompt_length/clip_ratio,prompt_length/max,prompt_length/mean,prompt_length/min,response/aborted_ratio,response_length/clip_ratio,response_length/max,response_length/mean,response_length/min,response_length_non_aborted/clip_ratio,response_length_non_aborted/max,response_length_non_aborted/mean,response_length_non_aborted/min,rollout_corr/chi2_seq,rollout_corr/chi2_token,rollout_corr/k3_kl,rollout_corr/kl,rollout_corr/log_ppl_abs_diff,rollout_corr/log_ppl_diff,rollout_corr/log_ppl_diff_max,rollout_corr/log_ppl_diff_min,rollout_corr/ppl_ratio,rollout_corr/rollout_log_ppl,rollout_corr/rollout_ppl,rollout_corr/training_log_ppl,rollout_corr/training_ppl,timing_per_token_ms/adv,timing_per_token_ms/gen,timing_per_token_ms/ref,timing_per_token_ms/update_actor,timing_s/adv,timing_s/agent_loop/compute_score/max,timing_s/agent_loop/compute_score/mean,timing_s/agent_loop/compute_score/min,timing_s/agent_loop/generate_sequences/max,timing_s/agent_loop/generate_sequences/mean,timing_s/agent_loop/generate_sequences/min,timing_s/agent_loop/num_preempted/max,timing_s/agent_loop/num_preempted/mean,timing_s/agent_loop/num_preempted/min,timing_s/agent_loop/slowest/compute_score,timing_s/agent_loop/slowest/generate_sequences,timing_s/agent_loop/slowest/num_preempted,timing_s/agent_loop/slowest/prompt_length,timing_s/agent_loop/slowest/response_length,timing_s/agent_loop/slowest/tool_calls,timing_s/agent_loop/tool_calls/max,timing_s/agent_loop/tool_calls/mean,timing_s/agent_loop/tool_calls/min,timing_s/dump_rollout_generations,timing_s/gen,timing_s/old_log_prob,timing_s/ref,timing_s/reward,timing_s/save_checkpoint,timing_s/start_profile,timing_s/step,timing_s/stop_profile,timing_s/testing,timing_s/update_actor,timing_s/update_weights,training/epoch,training/global_step,training/rollout_actor_probs_pearson_corr,training/rollout_probs_diff_max,training/rollout_probs_diff_mean,training/rollout_probs_diff_std,training/rollout_probs_diff_valid,val-aux/longvt_longvt-val/answered/mean@1,val-aux/longvt_longvt-val/evidence_iou/mean@1,val-aux/longvt_longvt-val/format_score/mean@1,val-aux/longvt_longvt-val/judge_used/mean@1,val-aux/longvt_longvt-val/num_tool_calls/mean@1,val-aux/longvt_longvt-val/reward/mean@1,val-aux/longvt_longvt-val/score/mean@1,val-aux/num_turns/max,val-aux/num_turns/mean,val-aux/num_turns/min,val-core/longvt_longvt-val/acc/mean@1
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.964912,0.157634,0.482456,0.964912,0.982456,1.14886,1.14886,4,3.96491,2,0.508772
1,1.1133,0.0538227,0.001,0,0.02238,1e-05,98.7066,38.7974,41.8496,0,0,0.02238,0,2.70369,-0.02238,-2.72556,2.70369,-0.02238,-2.72556,2.29096,1.19399,0.5,2.29096,1.19399,0.5,926381,926381,926381,926381,926381,0,4,4,4,0.333277,0.295688,1175.35,788.177,926381,0,4145,3994.25,3940,0,0,3682,3243.1,2958,0,3682,3243.1,2958,1.61599,0.00490355,0.00239926,0.00238897,0.00316721,0.00237833,0.0109701,-0.00558114,1.00239,1.08526,3.03307,1.08763,3.04024,0.000196473,0.355563,0.162608,0.364747,0.182009,27.7554,2.61784,0.317597,118.161,100.781,65.5479,-1,-1,-1,10.7565,112.542,-1,3950,3408,0.123754,0.771022,0.129376,0.0664003,0.318386,147.6,147.47,150.637,2.5835e-05,,0.000218801,788.177,6.6282e-05,,337.895,3.91291,0,1,0.999085,0.300881,0.0088188,0.0133775,1,,,,,,,,,,,
2,1.16765,0.050265,0.001,0.000749014,0.0186782,1e-05,99.0548,39.1479,42.0605,0,0,0.0186775,0,3.74991,-0.0186775,-2.22729,3.74991,-0.0186775,-2.22729,2.42211,1.29019,0.5,2.42211,1.29019,0.5,931665,931665,931665,931665,931665,0,4,4,4,0.340762,0.290675,1176.72,791.744,931665,0,4151,4019,3934,0,0,3590,3259.63,2963,0,3590,3259.63,2963,21.9613,0.00559258,0.0024194,0.00199935,0.0032977,0.00219598,0.0187689,-0.00772852,1.00221,1.14014,3.21334,1.14234,3.22058,0.000180313,0.361612,0.16357,0.35514,0.167991,7.18034,2.20432,0.315355,119.221,103.52,70.9484,-1,-1,-1,1.86279,119.221,-1,3943,3590,0.0844715,0.869034,0.146974,0.0574179,0.317806,150.876,152.751,152.393,0.000526267,,7.7493e-05,791.744,4.62581e-05,,330.871,4.21052,0,2,0.999097,0.29453,0.00885323,0.013165,1,,,,,,,,,,,
3,1.06424,0.0517434,0.001,0.000691001,-0.0146407,1e-05,115.483,39.1479,42.0605,0,0,-0.0146413,0,2.27148,0.0146413,-3.3155,2.27148,0.0146413,-3.3155,2.49333,1.34592,0.5,2.49333,1.34592,0.5,924370,924370,924370,924370,924370,0,4,4,4,0.339487,0.297265,1209.38,764.333,924370,0,4147,3993.5,3936,0,0,3537,3228.14,2988,0,3537,3228.14,2988,3.0333,0.00622332,0.00258106,0.00211467,0.00327352,0.00210022,0.0122399,-0.00706822,1.00211,1.03906,2.89308,1.04116,2.89929,0.000175331,0.353481,0.147996,0.355431,0.162071,5.23721,2.00999,0.328613,116.796,100.965,68.9444,-1,-1,-1,3.13506,116.796,-1,4147,3398,0.0860154,0.855317,0.153635,0.0624792,0.322683,146.059,148.307,136.803,0.000529355,,5.6838e-05,764.333,4.8095e-05,,328.55,3.97259,0,3,0.99899,0.294641,0.00912788,0.0138679,1,,,,,,,,,,,
4,1.14274,0.0518038,0.001,0.000720132,0.0126956,1e-05,132.081,39.1479,42.0996,0,0,0.0126949,0,2.74588,-0.0126949,-2.3491,2.74588,-0.0126949,-2.3491,2.40198,1.30785,0,2.40198,1.30785,0,930560,930560,930560,930560,930560,0,4,4,4,0.342637,0.299661,1205.84,771.709,930560,0,4142,4013.5,3933,0,0,3673,3256.5,2959,0,3673,3256.5,2959,1.24691,0.00538838,0.00250773,0.00239731,0.00325517,0.00236092,0.0142298,-0.00540197,1.00237,1.12216,3.17014,1.12452,3.17758,0.000180907,0.357094,0.151114,0.34919,0.168345,12.9869,2.08772,0.332534,118.077,101.989,71.1379,-1,-1,-1,12.7955,111.969,-1,3934,3403,0.16798,2.1059,0.220679,0.0673238,0.336158,148.848,152.655,140.62,0.00050858,,6.6616e-05,771.709,4.5751e-05,,324.943,3.9925,0,4,0.999109,0.299497,0.00875009,0.013271,1,,,,,,,,,,,
5,1.08579,0.0481486,0.001,0.000686004,-0.0326297,1e-05,99.2557,39.1509,42.0996,0,0,-0.0326303,0,1.89777,0.0326304,-3.13421,1.89777,0.0326304,-3.13421,2.5,1.39109,0.5,2.5,1.39109,0.5,933163,933163,933163,933163,933163,0,4,4,4,0.341581,0.297867,1207.75,772.643,933163,0,4146,4038.12,3933,0,0,3681,3252.21,2947,0,3681,3252.21,2947,3.16913,0.0054667,0.00248658,0.00226291,0.00333072,0.00234251,0.0112066,-0.0068109,1.00235,1.0617,2.9548,1.06404,2.96184,0.000175686,0.408028,0.145083,0.339841,0.163944,9.05577,2.208,0.338795,138.613,120.641,64.3132,-1,-1,-1,9.05577,132.298,-1,3940,3322,0.179855,0.787052,0.134855,0.0668482,0.32315,169.855,145.661,135.386,0.000503966,,5.8232e-05,772.643,4.7372e-05,,317.127,3.96878,0,5,0.999064,0.271229,0.0088625,0.0135077,1,,,,,,,,,,,
6,1.05774,0.0504419,0.001,0.000703152,-0.00295034,1e-05,99.3598,39.1509,42.0996,0,0,-0.00295104,0,3.14141,0.00295103,-2.38602,3.14141,0.00295103,-2.38602,2.39111,1.2809,0,2.39111,1.2809,0,927613,927613,927613,927613,927613,0,4,3.98438,2,0.342759,0.299034,1249.45,742.419,927613,0,4145,4023.12,3941,0,0,3649,3223.85,239,0,3649,3223.85,239,2.75359,0.00553882,0.00242245,0.00211277,0.00318793,0.00219183,0.0182749,-0.00622857,1.0022,1.03026,2.8672,1.03245,2.87383,0.000178374,0.365736,0.142484,0.336915,0.165462,8.39363,1.98427,0.246495,122.069,102.776,27.4363,-1,-1,-1,1.74549,122.069,-1,3950,3649,0.117055,0.995245,0.149628,0,0.317762,150.922,142.233,132.17,0.000510285,,5.8723e-05,742.419,4.73331e-05,,312.527,3.90852,0,6,0.999029,0.341147,0.00894908,0.0137264,1,,,,,,,,,,,
7,1.05127,0.0509321,0.001,0.0007034,0.0242801,1e-05,99.3154,39.1509,42.0996,0,0,0.0242794,0,3.47768,-0.0242794,-2.43473,3.47768,-0.0242794,-2.43473,2.40226,1.26983,0.5,2.40226,1.26983,0.5,927364,927364,927364,927364,927364,0,4,4,4,0.343311,0.29925,1236.57,749.952,927364,0,3960,3945.62,3933,0,0,3584,3299.41,3050,0,3584,3299.41,3050,3.57586,0.00486529,0.00255732,0.00271146,0.00394427,0.00266216,0.0159845,-0.0101197,1.00268,1.04136,2.92594,1.04402,2.93457,0.000166532,0.348009,0.145407,0.341889,0.154436,13.4981,2.39022,0.327898,115.758,101.141,70.8306,-1,-1,-1,13.4981,108.243,-1,3947,3256,0.752985,0.767823,0.164004,0.068208,0.31981,146.972,146.523,134.845,0.000405697,,5.6181e-05,749.952,4.7371e-05,,317.056,3.91637,0,7,0.999012,0.291811,0.00891305,0.0139622,1,,,,,,,,,,,
8,1.11968,0.0509739,0.001,0.000712381,0.0297559,1e-05,99.6738,39.1509,42.0996,0,0,0.0297552,0,2.18521,-0.0297552,-2.46681,2.18521,-0.0297552,-2.46681,2.4542,1.33797,0,2.4542,1.33797,0,925569,925569,925569,925569,925569,0,4,4,4,0.342503,0.298685,1247.99,741.649,925569,0,4149,3993.12,3930,0,0,3567,3237.88,2942,0,3567,3237.88,2942,5.7025,0.00409055,0.00233283,0.00263836,0.00364927,0.00277369,0.0196133,-0.00576627,1.00278,1.08801,3.05751,1.09078,3.06638,0.000174378,0.356723,0.143932,0.339497,0.161399,7.38281,2.26189,0.336262,117.855,102.864,58.9938,-1,-1,-1,4.51189,116.075,-1,4149,3299,0.104969,0.538041,0.137333,0.0668643,0.319335,147.843,141.712,133.219,0.000361863,,5.5675e-05,741.649,4.6402e-05,,314.228,3.9988,0,8,0.999061,0.215089,0.00897635,0.0134208,1,,,,,,,,,,,
9,1.09859,0.051118,0.001,0.000716623,0.00595029,1e-05,115.988,39.1509,42.0996,0,0,0.00594957,0,2.17588,-0.00594954,-2.54215,2.17588,-0.00594954,-2.54215,2.38,1.36454,0.5,2.38,1.36454,0.5,927913,927913,927913,927913,927913,0,4,4,4,0.343353,0.300234,1221.78,759.475,927913,0,3958,3948.62,3937,0,0,3520,3300.7,3037,0,3520,3300.7,3037,3.26458,0.00582457,0.00239644,0.00189202,0.00288132,0.00188709,0.0102844,-0.00461423,1.00189,1.07609,3.00699,1.07798,3.01246,0.000171252,0.348332,0.147588,0.343721,0.158907,12.6756,2.42836,0.323441,117.684,103.49,69.6692,-1,-1,-1,12.6756,111.537,-1,3954,3283,0.094831,0.77418,0.14854,0.0648361,0.318214,147.167,151.831,136.949,0.000394347,,5.68889e-05,759.475,4.8844e-05,,318.944,3.95433,0,9,0.999101,0.242396,0.00871651,0.0132398,1,,,,,,,,,,,
