ts total_used_gb shm_gb pss_total_gb pss_actors_gb pss_forked_gb n_proc top3
08:39:45 9.3 0.0 0.0 0.0 0.0 0 
08:40:05 10.3 0.0 1.0 1.0 0.0 1 1656310:1.0G:python3
08:40:25 15.1 0.0 5.1 5.1 0.0 66 1660829:0.9G:ay::TaskRunner.run|1656310:0.8G:python3|1661172:0.7G:rollout_init_model
08:40:45 15.5 0.0 5.6 5.6 0.0 66 1661172:1.2G:rollout_init_model|1660829:0.9G:ay::TaskRunner.run|1656310:0.8G:python3
08:41:06 21.6 0.0 11.1 11.1 0.0 75 1661601:1.3G:rver.launch_server|1661172:1.1G:ray::WorkerDict|1660829:0.9G:ay::TaskRunner.run
08:41:26 23.9 0.7 14.0 11.1 2.9 77 1662396:2.3G:VLLM::Worker|1661601:1.3G:rver.launch_server|1661172:1.1G:ray::WorkerDict
08:41:46 23.7 0.2 13.8 11.1 2.7 77 1662396:2.1G:VLLM::Worker|1661601:1.3G:rver.launch_server|1661172:1.1G:ray::WorkerDict
08:42:07 25.0 0.2 15.1 11.2 3.9 77 1662396:3.0G:VLLM::Worker|1661601:1.4G:rver.launch_server|1661172:1.1G:ray::WorkerDict
08:42:27 48.3 12.2 37.5 20.7 16.8 94 1662396:15.0G:VLLM::Worker|1661601:1.4G:ay::vLLMHttpServer|1663330:1.3G:generate_sequences
08:42:49 66.1 20.9 55.7 38.0 17.7 94 1662396:15.8G:VLLM::Worker|1661601:5.7G:ttpServer.generate|1663323:3.0G:generate_sequences
08:43:10 75.3 21.2 64.6 44.2 20.4 94 1662396:18.4G:VLLM::Worker|1661601:14.4G:ttpServer.generate|1663324:2.8G:generate_sequences
08:43:31 78.7 21.6 68.3 45.2 23.1 94 1662396:20.2G:VLLM::Worker|1661601:14.6G:ttpServer.generate|1663324:2.8G:generate_sequences
08:43:52 80.8 21.6 70.2 46.0 24.2 94 1662396:20.9G:VLLM::Worker|1661601:14.5G:ay::vLLMHttpServer|1663330:3.2G:generate_sequences
08:44:14 82.6 21.6 72.1 48.2 23.9 94 1662396:20.2G:VLLM::Worker|1661601:12.7G:ttpServer.generate|1663324:3.8G:generate_sequences
08:44:35 83.4 21.6 73.6 52.1 21.5 94 1662396:17.7G:VLLM::Worker|1661601:8.4G:ttpServer.generate|1663330:5.1G:generate_sequences
08:44:57 79.5 29.4 68.4 49.4 19.0 94 1660829:18.7G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661601:3.8G:ay::vLLMHttpServer
08:45:18 109.0 29.4 96.5 79.5 17.1 94 1660829:49.9G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661601:3.8G:ay::vLLMHttpServer
08:45:40 111.5 29.4 98.8 81.7 17.1 94 1661172:34.7G:rollout_compute_lo|1660829:21.3G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:46:02 96.6 29.4 86.2 69.2 17.0 94 1661172:22.4G:rollout_compute_lo|1660829:21.1G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:46:24 96.8 29.4 86.4 69.3 17.0 94 1661172:22.5G:rollout_compute_lo|1660829:21.1G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:46:45 96.8 29.4 86.4 69.3 17.0 94 1661172:22.5G:rollout_compute_lo|1660829:21.1G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:47:07 96.6 29.4 86.2 69.2 17.0 94 1661172:22.4G:rollout_compute_lo|1660829:21.1G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:47:29 97.8 29.4 85.8 68.7 17.0 94 1661172:21.9G:ray::WorkerDict|1660829:21.1G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:47:51 98.9 29.4 86.0 69.0 17.0 94 1661172:22.0G:rollout_compute_lo|1660829:21.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:48:13 113.1 29.4 102.4 85.4 17.0 94 1661172:38.4G:rollout_compute_lo|1660829:21.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:48:34 113.2 29.4 102.1 85.1 17.0 94 1661172:38.1G:rollout_compute_lo|1660829:21.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:48:56 113.2 29.4 102.6 85.5 17.0 94 1661172:38.6G:rollout_compute_lo|1660829:21.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:49:18 113.1 29.4 102.4 85.4 17.0 94 1661172:38.4G:rollout_compute_lo|1660829:21.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:49:40 113.1 29.4 102.4 85.4 17.0 94 1661172:38.4G:rollout_compute_lo|1660829:21.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:50:02 138.3 29.4 125.7 108.7 17.0 94 1660829:45.0G:ay::TaskRunner.run|1661172:37.9G:ray::WorkerDict|1662396:15.2G:VLLM::Worker
08:50:24 134.8 29.4 122.4 105.4 17.0 94 1661172:58.2G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:50:46 129.8 29.4 118.7 101.7 17.0 94 1661172:54.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:51:08 97.7 29.4 118.1 101.1 17.0 94 1661172:53.9G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:51:30 97.4 29.4 86.9 69.9 17.0 94 1661172:22.7G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:51:52 97.4 29.4 86.7 69.7 17.0 94 1661172:22.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:52:14 97.4 29.4 87.2 70.2 17.0 94 1661172:23.0G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:52:36 97.4 29.4 86.7 69.7 17.0 94 1661172:22.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:52:58 97.4 29.4 86.7 69.7 17.0 94 1661172:22.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:53:20 97.8 29.4 86.7 69.7 17.0 94 1661172:22.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:53:42 97.3 29.4 86.7 69.7 17.0 94 1661172:22.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:54:03 97.3 29.4 87.1 70.0 17.0 94 1661172:22.9G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:54:25 97.4 29.4 86.7 69.7 17.0 94 1661172:22.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:54:47 97.4 29.4 86.7 69.7 17.0 94 1661172:22.5G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:55:09 97.8 29.4 87.1 70.0 17.0 94 1661172:22.9G:rollout_update_act|1660829:21.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
08:55:31 90.1 29.4 79.6 62.5 17.0 94 1660829:21.1G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:6.2G:ray::WorkerDict
08:55:53 98.2 29.4 87.1 67.4 19.7 94 1660829:20.9G:ay::TaskRunner.run|1662396:17.6G:VLLM::Worker|1661601:8.8G:ttpServer.generate
08:56:15 103.4 29.4 92.8 70.4 22.3 94 1660829:20.9G:ay::TaskRunner.run|1662396:19.8G:VLLM::Worker|1661601:11.6G:ay::vLLMHttpServer
08:56:37 105.8 29.4 95.0 71.4 23.6 94 1660829:20.8G:ay::TaskRunner.run|1662396:20.4G:VLLM::Worker|1661601:11.9G:ttpServer.generate
08:56:59 108.6 29.4 97.3 73.4 23.9 94 1660829:20.8G:ay::TaskRunner.run|1662396:20.2G:VLLM::Worker|1661601:11.7G:ttpServer.generate
08:57:22 109.0 29.4 98.3 74.4 23.9 94 1660829:20.7G:ay::TaskRunner.run|1662396:20.0G:VLLM::Worker|1661601:9.5G:ay::vLLMHttpServer
08:57:45 109.6 29.4 92.9 73.8 19.2 94 1660829:22.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1663327:6.7G:generate_sequences
08:58:07 113.0 29.4 98.2 81.2 17.0 94 1660829:47.9G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker|1661172:5.2G:ray::WorkerDict
08:58:30 114.7 29.4 100.8 83.8 17.0 94 1660829:36.5G:ay::TaskRunner.run|1661172:19.3G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
08:58:53 114.2 29.4 103.4 86.4 17.0 94 1660829:36.5G:ay::TaskRunner.run|1661172:21.9G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
08:59:16 114.3 29.4 103.5 86.4 17.0 94 1660829:36.5G:ay::TaskRunner.run|1661172:21.9G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
08:59:38 114.3 29.4 103.6 86.5 17.0 94 1660829:36.5G:ay::TaskRunner.run|1661172:22.0G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:00:01 114.2 29.4 103.4 86.4 17.0 94 1660829:36.5G:ay::TaskRunner.run|1661172:21.9G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:00:24 114.2 29.4 103.4 86.4 17.0 94 1660829:36.5G:ay::TaskRunner.run|1661172:21.9G:rollout_compute_lo|1662396:15.2G:VLLM::Worker
09:00:47 124.8 29.4 110.4 93.3 17.1 94 1660829:43.9G:ay::TaskRunner.run|1661172:21.4G:ray::WorkerDict|1662396:15.2G:VLLM::Worker
09:01:10 124.5 29.4 110.7 93.6 17.1 94 1661172:45.3G:rollout_compute_lo|1660829:20.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:01:32 113.9 29.4 103.5 86.4 17.1 94 1661172:38.0G:rollout_compute_lo|1660829:20.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:01:55 114.3 29.4 103.6 86.5 17.1 94 1661172:38.2G:rollout_compute_lo|1660829:20.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:02:18 114.3 29.4 103.6 86.5 17.1 94 1661172:38.2G:rollout_compute_lo|1660829:20.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:02:40 114.2 29.4 103.5 86.4 17.1 94 1661172:38.0G:rollout_compute_lo|1660829:20.4G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:03:03 128.1 29.4 114.8 97.8 17.1 94 1661172:37.6G:ray::WorkerDict|1660829:32.2G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:03:26 120.0 29.4 106.0 88.9 17.1 94 1661172:40.4G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:03:49 130.5 29.4 120.1 103.0 17.1 94 1661172:54.5G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:04:12 130.5 29.4 119.7 102.6 17.1 94 1661172:54.1G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:04:35 130.8 29.4 120.1 103.0 17.1 94 1661172:54.5G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:04:58 130.4 29.4 119.7 102.6 17.1 94 1661172:54.1G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:05:20 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:05:43 98.1 29.4 87.9 70.8 17.1 94 1661172:22.3G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:06:05 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:06:28 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:06:51 98.6 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:07:13 98.5 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:07:36 98.1 29.4 87.8 70.7 17.1 94 1661172:22.2G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
09:07:59 98.1 29.4 87.4 70.3 17.1 94 1661172:21.8G:rollout_update_act|1660829:20.6G:ay::TaskRunner.run|1662396:15.2G:VLLM::Worker
