ts total_used_gb shm_gb pss_total_gb pss_actors_gb pss_forked_gb n_proc top3
06:28:24 9.3 0.0 0.0 0.0 0.0 0 
06:28:44 9.9 0.0 1.0 1.0 0.0 1 1099522:1.0G:python3
06:29:04 15.0 0.0 5.0 5.0 0.0 66 1104037:0.9G:ay::TaskRunner.run|1099522:0.8G:python3|1104349:0.6G:0:0:WorkerDict.__i
06:29:25 29.4 0.0 19.4 19.4 0.0 66 1104349:15.0G:rollout_init_model|1104037:0.9G:ay::TaskRunner.run|1099522:0.8G:python3
06:29:45 38.1 0.0 27.8 27.8 0.0 75 1104349:17.8G:ray::WorkerDict|1104839:1.3G:rver.launch_server|1104037:0.9G:ay::TaskRunner.run
06:30:06 39.7 0.2 29.7 27.7 2.0 77 1104349:17.8G:ray::WorkerDict|1105605:1.4G:VLLM::Worker|1104839:1.3G:rver.launch_server
06:30:26 40.3 0.2 30.4 27.7 2.7 77 1104349:17.8G:ray::WorkerDict|1105605:2.1G:VLLM::Worker|1104839:1.3G:rver.launch_server
06:30:47 41.5 0.2 31.6 27.7 3.9 77 1104349:17.8G:ray::WorkerDict|1105605:3.0G:VLLM::Worker|1104839:1.3G:rver.launch_server
06:31:07 44.6 12.2 33.8 18.0 15.8 86 1105605:14.9G:VLLM::Worker|1104349:1.9G:rollout_update_wei|1104839:1.4G:ay::vLLMHttpServer
06:31:28 70.2 12.2 59.7 43.0 16.7 94 1104349:17.8G:ray::WorkerDict|1105605:15.0G:VLLM::Worker|1106438:2.0G:generate_sequences
06:31:49 86.5 21.0 75.9 56.8 19.1 94 1104349:17.8G:ray::WorkerDict|1105605:17.1G:VLLM::Worker|1104839:8.9G:ttpServer.generate
06:32:11 93.7 21.2 83.6 60.9 22.7 94 1105605:20.1G:VLLM::Worker|1104349:17.8G:ray::WorkerDict|1104839:14.4G:ay::vLLMHttpServer
06:32:32 96.0 21.5 85.3 61.9 23.3 94 1105605:20.4G:VLLM::Worker|1104349:17.8G:ray::WorkerDict|1104839:14.3G:ay::vLLMHttpServer
06:32:53 98.0 21.5 87.3 63.3 24.0 94 1105605:20.5G:VLLM::Worker|1104349:17.8G:ray::WorkerDict|1104839:13.6G:ttpServer.generate
06:33:15 99.2 21.5 89.0 65.5 23.5 94 1105605:19.7G:VLLM::Worker|1104349:17.8G:ray::WorkerDict|1104839:11.9G:ay::vLLMHttpServer
06:33:36 105.4 21.5 92.0 73.0 18.9 94 1104349:17.8G:ray::WorkerDict|1105605:15.2G:VLLM::Worker|1106442:7.1G:generate_sequences
06:33:58 107.0 28.8 94.4 77.3 17.0 94 1104037:31.5G:ay::TaskRunner.run|1104349:17.8G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:34:20 100.7 28.8 88.2 71.2 17.0 94 1104037:22.2G:ay::TaskRunner.run|1104349:21.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:34:42 95.4 28.8 86.6 69.6 17.0 94 1104349:23.3G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:35:03 96.1 28.8 85.3 68.3 17.0 94 1104349:22.0G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:35:25 96.2 28.8 85.7 68.7 17.0 94 1104349:22.4G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:35:47 96.2 28.8 85.7 68.7 17.0 94 1104349:22.4G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:36:09 96.1 28.8 85.6 68.6 17.0 94 1104349:22.3G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:36:31 97.2 28.8 85.6 68.6 17.0 94 1104349:22.3G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:36:53 119.9 28.9 107.5 90.5 17.0 94 1104037:42.4G:ay::TaskRunner.run|1104349:22.5G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:37:15 119.8 28.9 107.7 90.7 17.0 94 1104349:44.3G:rollout_compute_lo|1104037:20.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:37:36 96.3 28.9 85.8 68.8 17.0 94 1104349:22.4G:rollout_compute_lo|1104037:20.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:37:58 96.4 28.9 85.9 68.9 17.0 94 1104349:22.5G:rollout_compute_lo|1104037:20.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:38:20 96.4 28.9 85.9 68.9 17.0 94 1104349:22.5G:rollout_compute_lo|1104037:20.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:38:42 96.3 28.9 85.8 68.8 17.0 94 1104349:22.4G:rollout_compute_lo|1104037:20.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:39:04 96.3 28.9 85.8 68.8 17.0 94 1104349:22.3G:rollout_compute_lo|1104037:20.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:39:26 114.7 28.9 101.7 84.7 17.0 94 1104037:36.7G:ay::TaskRunner.run|1104349:22.6G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:39:48 111.0 28.9 98.3 81.3 17.0 94 1104349:34.6G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:40:09 96.5 28.9 86.0 69.0 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:40:31 96.6 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:40:53 96.9 28.9 86.5 69.4 17.0 94 1104349:22.8G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:41:15 96.5 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:41:37 96.5 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:41:59 97.0 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:42:20 96.5 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:42:42 97.0 28.9 86.6 69.6 17.0 94 1104349:22.9G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:43:04 96.5 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:43:26 96.5 28.9 86.5 69.4 17.0 94 1104349:22.8G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:43:48 96.5 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:44:10 96.9 28.9 86.1 69.1 17.0 94 1104349:22.4G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:44:32 96.5 28.9 86.5 69.4 17.0 94 1104349:22.8G:rollout_update_act|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:44:54 97.3 29.2 101.7 84.7 17.0 94 1104349:38.1G:ray::WorkerDict|1104037:21.1G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:45:16 104.6 29.2 93.5 76.4 17.0 94 1104349:23.3G:ray::WorkerDict|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:45:38 113.5 29.2 102.6 83.1 19.4 94 1104349:23.1G:ray::WorkerDict|1104037:20.6G:ay::TaskRunner.run|1105605:17.4G:VLLM::Worker
06:46:00 119.9 29.2 109.3 87.0 22.3 94 1104349:23.0G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:19.8G:VLLM::Worker
06:46:22 121.9 29.2 111.1 87.6 23.4 94 1104349:23.0G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:20.3G:VLLM::Worker
06:46:45 123.6 29.2 113.0 89.0 24.0 94 1104349:23.0G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:20.4G:VLLM::Worker
06:47:07 125.6 29.2 114.7 91.1 23.7 94 1104349:23.0G:ray::WorkerDict|1104037:20.5G:ay::TaskRunner.run|1105605:19.8G:VLLM::Worker
06:47:30 122.4 29.2 115.3 96.2 19.1 94 1104037:23.3G:ay::TaskRunner.run|1104349:22.8G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:47:52 127.4 30.6 114.2 97.1 17.1 94 1104037:46.5G:ay::TaskRunner.run|1104349:22.4G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:48:15 116.3 30.6 120.5 103.5 17.1 94 1104037:52.9G:ay::TaskRunner.run|1104349:22.4G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:48:38 147.0 30.6 134.5 117.5 17.1 94 1104349:52.4G:rollout_compute_lo|1104037:36.9G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:49:00 115.0 30.6 104.4 87.3 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:49:22 115.0 30.6 104.5 87.4 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.4G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:49:45 115.0 30.6 104.5 87.4 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.4G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:50:07 114.9 30.6 104.4 87.3 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:50:30 114.9 30.6 104.4 87.3 17.1 94 1104037:36.9G:ay::TaskRunner.run|1104349:22.3G:rollout_compute_lo|1105605:15.2G:VLLM::Worker
06:50:52 119.0 30.6 105.2 88.2 17.1 94 1104349:38.4G:ray::WorkerDict|1104037:21.6G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:51:15 131.0 30.6 135.8 118.8 17.1 94 1104037:52.2G:ay::TaskRunner.run|1104349:38.4G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:51:38 129.9 30.6 136.5 119.4 17.1 94 1104349:70.5G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:52:00 98.8 30.6 88.3 71.3 17.1 94 1104349:22.3G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:52:22 99.0 30.6 88.5 71.4 17.1 94 1104349:22.4G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:52:45 99.0 30.6 88.5 71.4 17.1 94 1104349:22.4G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:53:07 98.8 30.6 88.3 71.3 17.1 94 1104349:22.3G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:53:30 105.0 30.6 92.1 75.0 17.1 94 1104349:26.0G:rollout_compute_lo|1104037:20.8G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
06:53:52 124.2 30.6 110.9 93.8 17.1 94 1104037:43.3G:ay::TaskRunner.run|1104349:22.4G:ray::WorkerDict|1105605:15.2G:VLLM::Worker
06:54:15 124.6 30.6 112.0 94.9 17.1 94 1104349:45.8G:rollout_update_act|1104037:21.0G:ay::TaskRunner.run|1105605:15.2G:VLLM::Worker
